common.name,scientific.name,state,query.volume.state,encounter.state.normalized
white-tailed ptarmigan,Lagopus leucura,Rhode Island,0,0
white-tailed ptarmigan,Lagopus leucura,South Carolina,0,0
white-tailed ptarmigan,Lagopus leucura,South Dakota,0,0
white-tailed ptarmigan,Lagopus leucura,Tennessee,0,0
white-tailed ptarmigan,Lagopus leucura,Texas,0,0
white-tailed ptarmigan,Lagopus leucura,Utah,0,10.55616878
white-tailed ptarmigan,Lagopus leucura,Vermont,0,0
white-tailed ptarmigan,Lagopus leucura,Virginia,0,0
white-tailed ptarmigan,Lagopus leucura,Washington,0,16.98162488
white-tailed ptarmigan,Lagopus leucura,West Virginia,0,0
white-tailed ptarmigan,Lagopus leucura,Wisconsin,7,0
white-tailed ptarmigan,Lagopus leucura,Wyoming,0,0
white-tailed tropicbird,Phaethon lepturus,Alabama,0,0
white-tailed tropicbird,Phaethon lepturus,Alaska,0,0
white-tailed tropicbird,Phaethon lepturus,Arizona,0,0
white-tailed tropicbird,Phaethon lepturus,Arkansas,0,0
white-tailed tropicbird,Phaethon lepturus,California,0,0
white-tailed tropicbird,Phaethon lepturus,Colorado,0,0
white-tailed tropicbird,Phaethon lepturus,Connecticut,0,0.006553973
white-tailed tropicbird,Phaethon lepturus,Delaware,0,0
white-tailed tropicbird,Phaethon lepturus,District of Columbia,0,0
white-tailed tropicbird,Phaethon lepturus,Florida,100,0.178808938
white-tailed tropicbird,Phaethon lepturus,Georgia,0,0
white-tailed tropicbird,Phaethon lepturus,Hawaii,0,100
white-tailed tropicbird,Phaethon lepturus,Idaho,0,0
white-tailed tropicbird,Phaethon lepturus,Illinois,0,0
white-tailed tropicbird,Phaethon lepturus,Indiana,0,0
white-tailed tropicbird,Phaethon lepturus,Iowa,0,0
white-tailed tropicbird,Phaethon lepturus,Kansas,0,0
white-tailed tropicbird,Phaethon lepturus,Kentucky,0,0
white-tailed tropicbird,Phaethon lepturus,Louisiana,0,0
white-tailed tropicbird,Phaethon lepturus,Maine,0,0
white-tailed tropicbird,Phaethon lepturus,Maryland,0,0.00413039
white-tailed tropicbird,Phaethon lepturus,Massachusetts,0,0.041106619
white-tailed tropicbird,Phaethon lepturus,Michigan,0,0
white-tailed tropicbird,Phaethon lepturus,Minnesota,0,0
white-tailed tropicbird,Phaethon lepturus,Mississippi,0,0
white-tailed tropicbird,Phaethon lepturus,Missouri,0,0
white-tailed tropicbird,Phaethon lepturus,Montana,0,0
white-tailed tropicbird,Phaethon lepturus,Nebraska,0,0
white-tailed tropicbird,Phaethon lepturus,Nevada,0,0
white-tailed tropicbird,Phaethon lepturus,New Hampshire,0,0
white-tailed tropicbird,Phaethon lepturus,New Jersey,0,0.0210819
white-tailed tropicbird,Phaethon lepturus,New Mexico,0,0
white-tailed tropicbird,Phaethon lepturus,New York,41,0.003578943
white-tailed tropicbird,Phaethon lepturus,North Carolina,0,0.47411929
white-tailed tropicbird,Phaethon lepturus,North Dakota,0,0
white-tailed tropicbird,Phaethon lepturus,Ohio,0,0
white-tailed tropicbird,Phaethon lepturus,Oklahoma,0,0
white-tailed tropicbird,Phaethon lepturus,Oregon,0,0
white-tailed tropicbird,Phaethon lepturus,Pennsylvania,0,0
white-tailed tropicbird,Phaethon lepturus,Rhode Island,0,0
white-tailed tropicbird,Phaethon lepturus,South Carolina,0,0.057006624
white-tailed tropicbird,Phaethon lepturus,South Dakota,0,0
white-tailed tropicbird,Phaethon lepturus,Tennessee,0,0
white-tailed tropicbird,Phaethon lepturus,Texas,0,0
white-tailed tropicbird,Phaethon lepturus,Utah,0,0
white-tailed tropicbird,Phaethon lepturus,Vermont,0,0
white-tailed tropicbird,Phaethon lepturus,Virginia,0,0.012730706
white-tailed tropicbird,Phaethon lepturus,Washington,0,0
white-tailed tropicbird,Phaethon lepturus,West Virginia,0,0
white-tailed tropicbird,Phaethon lepturus,Wisconsin,0,0
white-tailed tropicbird,Phaethon lepturus,Wyoming,0,0
white-throated sparrow,Zonotrichia albicollis,Alabama,0,54.0137147
white-throated sparrow,Zonotrichia albicollis,Alaska,0,1.190288613
white-throated sparrow,Zonotrichia albicollis,Arizona,0,1.663221642
white-throated sparrow,Zonotrichia albicollis,Arkansas,31,98.82095473
white-throated sparrow,Zonotrichia albicollis,California,5,3.792937683
white-throated sparrow,Zonotrichia albicollis,Colorado,0,1.310321024
white-throated sparrow,Zonotrichia albicollis,Connecticut,22,73.26694679
white-throated sparrow,Zonotrichia albicollis,Delaware,34,86.26925271
white-throated sparrow,Zonotrichia albicollis,District of Columbia,7,89.65921976
white-throated sparrow,Zonotrichia albicollis,Florida,0,1.863038445
white-throated sparrow,Zonotrichia albicollis,Georgia,10,54.42777651
white-throated sparrow,Zonotrichia albicollis,Hawaii,0,0
white-throated sparrow,Zonotrichia albicollis,Idaho,0,1.347473272
white-throated sparrow,Zonotrichia albicollis,Illinois,16,42.35668401
white-throated sparrow,Zonotrichia albicollis,Indiana,18,51.35077542
white-throated sparrow,Zonotrichia albicollis,Iowa,17,30.97956747
white-throated sparrow,Zonotrichia albicollis,Kansas,0,27.67816725
white-throated sparrow,Zonotrichia albicollis,Kentucky,17,74.07863531
white-throated sparrow,Zonotrichia albicollis,Louisiana,0,64.28323984
white-throated sparrow,Zonotrichia albicollis,Maine,72,46.25670507
white-throated sparrow,Zonotrichia albicollis,Maryland,22,100
white-throated sparrow,Zonotrichia albicollis,Massachusetts,23,52.09890108
white-throated sparrow,Zonotrichia albicollis,Michigan,16,28.22227075
white-throated sparrow,Zonotrichia albicollis,Minnesota,46,32.3849015
white-throated sparrow,Zonotrichia albicollis,Mississippi,0,62.43116284
white-throated sparrow,Zonotrichia albicollis,Missouri,16,79.24795566
white-throated sparrow,Zonotrichia albicollis,Montana,0,2.759282572
white-throated sparrow,Zonotrichia albicollis,Nebraska,0,12.97111881
white-throated sparrow,Zonotrichia albicollis,Nevada,0,1.281075841
white-throated sparrow,Zonotrichia albicollis,New Hampshire,67,50.86677633
white-throated sparrow,Zonotrichia albicollis,New Jersey,15,89.35724883
white-throated sparrow,Zonotrichia albicollis,New Mexico,0,5.098765771
white-throated sparrow,Zonotrichia albicollis,New York,16,64.29352528
white-throated sparrow,Zonotrichia albicollis,North Carolina,17,79.27867004
white-throated sparrow,Zonotrichia albicollis,North Dakota,0,28.13915821
white-throated sparrow,Zonotrichia albicollis,Ohio,16,52.8348116
white-throated sparrow,Zonotrichia albicollis,Oklahoma,0,22.63192868
white-throated sparrow,Zonotrichia albicollis,Oregon,0,5.919400915
white-throated sparrow,Zonotrichia albicollis,Pennsylvania,24,70.72146561
white-throated sparrow,Zonotrichia albicollis,Rhode Island,0,48.95359398
white-throated sparrow,Zonotrichia albicollis,South Carolina,12,58.34306987
white-throated sparrow,Zonotrichia albicollis,South Dakota,0,8.315263379
white-throated sparrow,Zonotrichia albicollis,Tennessee,19,75.98834514
white-throated sparrow,Zonotrichia albicollis,Texas,7,19.82070462
white-throated sparrow,Zonotrichia albicollis,Utah,0,1.213011059
white-throated sparrow,Zonotrichia albicollis,Vermont,100,47.04682567
white-throated sparrow,Zonotrichia albicollis,Virginia,18,89.8701324
white-throated sparrow,Zonotrichia albicollis,Washington,7,2.362918116
white-throated sparrow,Zonotrichia albicollis,West Virginia,0,48.34929664
white-throated sparrow,Zonotrichia albicollis,Wisconsin,28,34.3130629
white-throated sparrow,Zonotrichia albicollis,Wyoming,0,0.845173728
white-throated swift,Aeronautes saxatalis,Alabama,0,0
white-throated swift,Aeronautes saxatalis,Alaska,0,0
white-throated swift,Aeronautes saxatalis,Arizona,0,88.24422575
white-throated swift,Aeronautes saxatalis,Arkansas,0,0.085526428
white-throated swift,Aeronautes saxatalis,California,100,100
white-throated swift,Aeronautes saxatalis,Colorado,0,49.93920704
white-throated swift,Aeronautes saxatalis,Connecticut,0,0
white-throated swift,Aeronautes saxatalis,Delaware,0,0
white-throated swift,Aeronautes saxatalis,District of Columbia,0,0
white-throated swift,Aeronautes saxatalis,Florida,0,0
white-throated swift,Aeronautes saxatalis,Georgia,0,0
white-throated swift,Aeronautes saxatalis,Hawaii,0,0
white-throated swift,Aeronautes saxatalis,Idaho,0,13.52067252
white-throated swift,Aeronautes saxatalis,Illinois,0,0
white-throated swift,Aeronautes saxatalis,Indiana,0,0
white-throated swift,Aeronautes saxatalis,Iowa,0,0
white-throated swift,Aeronautes saxatalis,Kansas,0,0
white-throated swift,Aeronautes saxatalis,Kentucky,0,0
white-throated swift,Aeronautes saxatalis,Louisiana,0,0
white-throated swift,Aeronautes saxatalis,Maine,0,0
white-throated swift,Aeronautes saxatalis,Maryland,0,0
white-throated swift,Aeronautes saxatalis,Massachusetts,0,0
white-throated swift,Aeronautes saxatalis,Michigan,0,0
white-throated swift,Aeronautes saxatalis,Minnesota,0,0
white-throated swift,Aeronautes saxatalis,Mississippi,0,0
white-throated swift,Aeronautes saxatalis,Missouri,0,0
white-throated swift,Aeronautes saxatalis,Montana,0,30.67891397
white-throated swift,Aeronautes saxatalis,Nebraska,0,3.978842835
white-throated swift,Aeronautes saxatalis,Nevada,0,56.9568335
white-throated swift,Aeronautes saxatalis,New Hampshire,0,0
white-throated swift,Aeronautes saxatalis,New Jersey,0,0
white-throated swift,Aeronautes saxatalis,New Mexico,0,65.24575263
white-throated swift,Aeronautes saxatalis,New York,0,0
white-throated swift,Aeronautes saxatalis,North Carolina,0,0
white-throated swift,Aeronautes saxatalis,North Dakota,0,0
white-throated swift,Aeronautes saxatalis,Ohio,0,0
white-throated swift,Aeronautes saxatalis,Oklahoma,0,0
white-throated swift,Aeronautes saxatalis,Oregon,0,5.574892698
white-throated swift,Aeronautes saxatalis,Pennsylvania,0,0
white-throated swift,Aeronautes saxatalis,Rhode Island,0,0
white-throated swift,Aeronautes saxatalis,South Carolina,0,0
white-throated swift,Aeronautes saxatalis,South Dakota,0,41.82014294
white-throated swift,Aeronautes saxatalis,Tennessee,0,0
white-throated swift,Aeronautes saxatalis,Texas,0,6.218896802
white-throated swift,Aeronautes saxatalis,Utah,0,72.91987248
white-throated swift,Aeronautes saxatalis,Vermont,0,0
white-throated swift,Aeronautes saxatalis,Virginia,0,0
white-throated swift,Aeronautes saxatalis,Washington,0,9.603437602
white-throated swift,Aeronautes saxatalis,West Virginia,0,0
white-throated swift,Aeronautes saxatalis,Wisconsin,0,0
white-throated swift,Aeronautes saxatalis,Wyoming,0,34.69166411
white-tipped dove,Leptotila verreauxi,Alabama,0,0
white-tipped dove,Leptotila verreauxi,Alaska,0,0
white-tipped dove,Leptotila verreauxi,Arizona,0,0
white-tipped dove,Leptotila verreauxi,Arkansas,0,0
white-tipped dove,Leptotila verreauxi,California,0,0
